OID,API,LeaseName,WellNumber,WellStatus,WellType,WellTypeLa,OperatorCo,OperatorNa,FieldName,AreaName,District,CountyName,Section,Township,Range,BaseMeridi,Latitude,Longitude,GISSource,isConfiden,isDirectio,SpudDate,WellSymbol
-1,402120521,Angel Slough,1-Feb,Idle,DG,Dry Gas,C8720,"Crain Orchards, Inc.",Afton Gas,Main,Northern,Glenn,2,18N,01W,MD,39.44915771,-121.9462891,GPS,N,N,2/17/1988,IdleDG
-1,402120723,Kauai,1-Mar,Idle,DG,Dry Gas,R4085,"Royale Energy, Inc.",Afton Gas,Main,Northern,Glenn,3,18N,01W,MD,39.4406395,-121.951889,GPS,N,N,12/7/1999,IdleDG
-1,402120734,Lanai,3-Mar,Idle,DG,Dry Gas,R4085,"Royale Energy, Inc.",Afton Gas,Main,Northern,Glenn,3,18N,01W,MD,39.44717407,-121.9612732,GPS,N,N,5/13/2000,IdleDG
-1,402120815,Anacapa,4-Mar,Idle,DG,Dry Gas,R4085,"Royale Energy, Inc.",Afton Gas,Main,Northern,Glenn,3,18N,01W,MD,39.44322968,-121.9510422,GPS,N,N,11/6/2002,IdleDG
-1,402120034,Afton Community 3,1,Plugged,DH,Dry Hole,S3280,Shoshone Oil Corp.,Afton Gas,Main,Northern,Glenn,34,19N,01W,MD,39.45586395,-121.9494247,hud,N,N,12/12/1970,PluggedDH
-1,402100017,Afton Community 2,1,Plugged,DG,Dry Gas,V1150,"Venoco, LLC",Afton Gas,Main,Northern,Glenn,34,19N,01W,MD,39.46021652,-121.953537,hud,N,N,4/14/1945,PluggedDG
-1,402100262,Mantelli,1,Plugged,DH,Dry Hole,2212,"Donald Frankel, Operator",Afton Gas,Main,Northern,Glenn,26,19N,01W,MD,39.46752548,-121.9359894,hud,N,N,4/13/1961,PluggedDH
-1,402100016,Afton Community 1,1,Plugged,DG,Dry Gas,V1150,"Venoco, LLC",Afton Gas,Main,Northern,Glenn,34,19N,01W,MD,39.4515152,-121.9506683,hud,N,N,12/2/1943,PluggedDG
-1,402120035,Spectrum-Pacific,1,Plugged,DH,Dry Hole,S3280,Shoshone Oil Corp.,Afton Gas,Main,Northern,Glenn,27,19N,01W,MD,39.46704483,-121.9628982,hud,N,N,12/17/1970,PluggedDH
-1,402100240,Max Pray-Central Valley-Boyd U,1,Plugged,DH,Dry Hole,3279,General Expl. Co. of Ca,Afton Gas,Main,Northern,Glenn,2,18N,01W,MD,39.43826675,-121.9474182,hud,N,N,6/11/1959,PluggedDH
