,County,Sec-Twp_Rng,Company,Well,Location,Type,Permit Number,API Number,Objective,Date
0,Clay,10-4N-7E,"Basnett, John R.","Crouch, John #2","330'N line, 495'W line of SE NE",SWD,204605,1.2025E+11,Cypress,Apr-18
1,Crawford,14-6N-13W,X Oil Company,Utterback #108,"990'N line, 580'W line of NW NW",OIL,65544,1.20334E+11,Robinson,Apr-18
2,Crawford,22-6N-13W,"Rhex, LLC",Doolittle #RX-1 WI,"7'N line, 438'E line of NE SE SW",WI,204616,1.20334E+11,Robinson,Apr-18
3,Crawford,2-7N-13W,"Maus's Well Service, Inc.","Dart, H. #DW-2","0'S line, 650'W line of SW SW",WI,204620,1.20334E+11,Robinson,Apr-18
4,Crawford,2-7N-13W,"Maus's Well Service, Inc.","Dart, H. #DW-3","674'S line, 652'W line of SW SW",WI,204621,1.20334E+11,Robinson,Apr-18
5,Crawford,11-8N-14W,"Shull Energy, LLC",Ripley #S-1,"39'N line, 65'E line of NE SE NE",WI,204619,1.20334E+11,Cypress,Apr-18
6,Crawford,11-8N-14W,"Shull Energy, LLC",Ripley #S-2,"307'N line, 51'E line of SE SE NE",WI,204618,1.20334E+11,Cypress,Apr-18
7,Cumberland,12-10N-8E,"Got Oil, LLC","Evans, Rex and Becky #1","330'N line, 330'E line of SW NW",OIL,65541,1.20352E+11,"Moccasin,Springs",Apr-18
8,Fayette,13-8N-3E,"P & M Oil, Inc.","Gregg, Willie #5-WI","990'N line, 330'W line of NE SW",WI,204622,1.2051E+11,Weiler,Apr-18
9,Franklin,2-6S-1E,"Countrymark Energy Resources, LLC",Korin #3-SWD,"338'N line, 405'E line of SW NE",SWD,204617,1.2055E+11,Cypress,Apr-18
10,Franklin,9-7S-3E,"Lampley Oil, Inc.",Lampley CNX #9-2A,"1650'N line, 1650'W line of NW",OIL,65550,1.20553E+11,Ullin,Apr-18
11,Franklin,9-7S-3E,"Lampley Oil, Inc.",Lampley CNX #9-2B,"990'S line, 1812'W line of SW",OIL,65551,1.20553E+11,Ullin,Apr-18
