Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #IJW-1","220'S line, 220'W line of NE NE NE",WI,204722 120232757900,St Louis
Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #IJW-15","220'N line, 0'W line of SW SE NE",WI,204723 120232758300,St Louis
Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #IJW-2","220'S line, 220'E line of NW NE NE",WI,204721 120232758000,St Louis
Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #IJW-4","220'N line, 220'W line of SE NE NE",WI,204719 120232758100,St Louis
Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #IJW-7","60'N line, 220'W line of NE SE NE",WI,204720 120232758200,St Louis
Crawford,20-6N-11W,"Pioneer Oil Co., Inc.","Tohill, H. #2","330'S line, 330'E line of SW",GAS,66199 120333247701,Spoon
Crawford,2-7N-13W,"Maus's Well Service, Inc.","Dart, H. #WI-4","30'N line, 10'E line of SE NW SW",WI,204729 120333828400,Spoon
Crawford,2-7N-13W,"Maus's Well Service, Inc.","Dart, H. #WI-6","30'N line, 10'E line of SE SW SW",WI,204728 120333828500,Spoon
Crawford,26-8N-14W,"Faithful Oil, LLC",Wiman #1-B,"330'N line, 330'E line of NW SE",OIL,66194 120333828600,Yankeetown
Crawford,26-8N-14W,"Faithful Oil, LLC",Wiman #3-B,"670'N line, 670'W line of NW SE",OIL,66196 120333828700,Gunter Sand
Crawford,26-8N-14W,"Faithful Oil, LLC",Wiman #4-B,"330'S line, 330'W line of NW SE",OIL,66195 120333828800,Yankeetown
Franklin,30-5S-2E,"Stewart Producers, Inc.",Illinois Minerals #30-4 WI,"501'S line, 275'E line of NW NE SW",WI,204726 120552517201,Aux Vases
Gallatin,33-7S-8E,"Countrymark Energy Resources, LLC",Bradley #1,"337'S line, 337'W line of SE SW",OIL,66198 120592585300,Caseyville
Lawrence,4-2N-11W,"Padgett, W. Thomas",Haase #1-B,"330'S line, 343'E line of NW NW",OIL,66191 121013212601,Salem
Lawrence,29-4N-12W,"CDG Operations, LLC","Lewis, J. B. #SWD-3","435'S line, 841'W line of SW",SWD,204725 121013287800,Shakopee
Madison,10-4N-6W,"Kiec, Inc","Pence, William H. #2 HOR","330'S line, 330'E line of SW",OIL,66202 121190142401,Moccasin
"",,,,,,,Springs
Madison,15-4N-6W,"Kiec, Inc","Dietz, F. H. #3 HOR","330'N line, 330'E line of SE SW NW",OIL,66200 121190146502,Moccasin
"",,,,,,,Springs
Madison,15-4N-6W,"Kiec, Inc","Dietz, F. H. #4 HOR","330'N line, 330'E line of SW",OIL,66201 121190146601,Moccasin
"",,,,,,,Springs
Madison,15-4N-6W,"Kiec, Inc","Kauhl, C. Community #1","330'S line, 330'W line of NE NE",OIL,66203 121190147202,Moccasin
"",,,HOR,,,,Springs
Marion,33-4N-4E,Deep Rock Energy Corp.,Miselbrook #3 DIR,"425'S line, 179'E line of NW SW",WI,204730 121212800502,Grand Tower
Wabash,24-1N-12W,"Woodcock Oil, LLC",Marcotte #3,"330'N line, 340'E line of SW NE",WI,204724 121852897901,Yankeetown
Washington,24-1S-1W,Resolve Exploration Corp.,Brink #1,"330'N line, 520'E line of SE NE",WI,204727 121892484401,Yankeetown
White,32-3S-14W,"Campbell Energy, LLC","Hon, C. #3-PO","673'S line, 330'W line of SE SE",OIL,66193 121933359902,Fort Payne
White,33-3S-14W,"Campbell Energy, LLC",Bump #16,"675'S line, 330'W line of NW NW",OIL,66192 121933360402,Ullin
White,17-4S-14W,"Campbell Energy, LLC",Bramlet #12,"660'S line, 330'W line of SW SE",WI,204718 121930446802,Fort Payne
White,17-4S-14W,"Campbell Energy, LLC","Hughes, Dennis #17-3","330'N line, 330'W line of SW NW",OIL,66188 121933359503,Fort Payne
White,27-4S-14W,Citation Oil & Gas Corp.,"Ford, H. C. #C-11","1005'S line, 330'W line of SW",OIL,66190 121930469103,,Ullin
White,34-4S-14W,Citation Oil & Gas Corp.,"Ford, H. C. #D-24","1880'N line, 330'E line of NW",OIL,66189 121933204801,,Ullin
White,4-5S-14W,Citation Oil & Gas Corp.,"Greathouse, E. S. #10","990'N line, 990'E line of NE",OIL,66197 121930532901,,Ullin
White,9-7S-9E,"Campbell Energy, LLC",Miller #1-A,"330'S line, 370'W line of NW",SWD,204717 121933346501,,Caseyville
