Doc Number,Well Name,Well Number,Operator,Operator Number,Qtr Qtr,Section,Township,Range,Lat,Long,County,Type,Municipality,Related 02A
401384134,Colorado Mammals Pad               ,               ,ENERPLUS RESOURCES (USA) CORPORATION,10177,NESE  ,5 ,7N    ,65W    ,40.602769,-104.678478,WELD           ,02A,(N/A),N/A
401539092,Ocho LD Pad                        ,               ,GREAT WESTERN OPERATING COMPANY LLC,10110,NENW  ,8 ,1S    ,67W    ,39.98475,-104.914033,ADAMS          ,02A,(N/A),N/A
401581689,Gaffney                            ,2920           ,VERDAD RESOURCES LLC,10651,SWNW  ,29,8N    ,61W    ,40.633807,-104.238268,WELD           ,02A,(N/A),N/A
401668551,Shook Wellpad                      ,3-1-67         ,PROVIDENCE OPERATING LLC DBA POCO OPERATING,10694,NWSE  ,3 ,1S    ,67W    ,39.992221,-104.87376,ADAMS          ,02A,(N/A),N/A
401720910,Lone Mesa                          ,4N66W30 1-8    ,PDC ENERGY INC,69175,NWSE  ,30,4N    ,66W    ,40.28195,-104.81706,WELD           ,02A,(N/A),N/A
401729969,T Bone                             ,               ,EXTRACTION OIL & GAS INC,10459,SESE  ,22,5N    ,66W    ,40.378755,-104.757969,WELD           ,02A,Evans,N/A
401764729,CBJ                                ,               ,EXTRACTION OIL & GAS INC,10459,SENE  ,15,5N    ,65W    ,40.401488,-104.642593,WELD           ,02A,(N/A),N/A
401795397,Johnson                            ,12H-C268       ,CRESTONE PEAK RESOURCES OPERATING LLC,10633,NENW  ,12,2N    ,68W    ,40.158882,-104.953566,WELD           ,02A,Firestone,N/A
401800370,Evans 0780 S19                     ,Pad            ,SANDRIDGE EXPLORATION & PRODUCTION LLC,10598,NWSE  ,19,7N    ,80W    ,40.55921,-106.41521,JACKSON        ,02A,(N/A),N/A
401809671,Acme                               ,31H-P168       ,CRESTONE PEAK RESOURCES OPERATING LLC,10633,SESE  ,31,1N    ,68W    ,40.002633,-105.039884,WELD           ,02A,ERIE,N/A
