County,Permitted Not Spud,Spud Last 12Mo
ADAMS,216,43
ALAMOSA,0,0
ARAPAHOE,45,20
ARCHULETA,35,10
BACA,3,0
BENT,0,0
BOULDER,0,0
BROOMFIELD,1,5
CHAFFEE,0,0
CHEYENNE,2,1
CLEAR CREEK,0,0
CONEJOS,0,0
COSTILLA,0,0
CROWLEY,0,0
CUSTER,0,0
DELTA,0,0
DENVER,1,0
DOLORES,1,0
DOUGLAS,0,0
EAGLE,0,0
ELBERT,72,1
EL PASO,0,0
FREMONT,2,0
GARFIELD,386,23
GILPIN,0,0
GRAND,0,0
GUNNISON,28,3
HINSDALE,0,0
HUERFANO,5,0
JACKSON,26,0
JEFFERSON,1,0
KIOWA,4,0
KIT CARSON,0,0
LAKE,0,0
LA PLATA,131,21
LARIMER,9,2
LAS ANIMAS,10,0
LINCOLN,21,1
LOGAN,6,0
MESA,58,0
MINERAL,0,0
MOFFAT,31,0
MONTEZUMA,17,0
MONTROSE,0,0
MORGAN,17,0
OTERO,0,0
OURAY,0,0
PARK,0,0
PHILLIPS,1,0
PITKIN,0,0
PROWERS,1,0
PUEBLO,0,0
RIO BLANCO,89,47
RIO GRANDE,0,0
ROUTT,6,0
SAGUACHE,0,0
SAN JUAN,0,0
SAN MIGUEL,4,0
SEDGWICK,0,0
SUMMIT,0,0
TELLER,0,0
WASHINGTON,10,1
WELD,2299,242
YUMA,5,0
